Source,CH1
Second,Volt
-0.79848000000,9.80000,
-0.79840000000,9.80000,
-0.79832000000,9.80000,
-0.79824000000,10.00000,
-0.79815993750,10.00000,
-0.79807993750,9.80000,
-0.79800000000,9.80000,
-0.79792000000,9.80000,
-0.79784000000,9.80000,
-0.79775993750,9.80000,
-0.79767993750,9.80000,
-0.79760000000,9.80000,
-0.79752000000,10.00000,
-0.79744000000,9.80000,
-0.79736000000,9.80000,
-0.79727993750,9.80000,
-0.79719993750,9.80000,
-0.79712000000,10.00000,
-0.79704000000,9.80000,
-0.79696000000,9.80000,
-0.79688000000,10.00000,
-0.79679993750,10.00000,
-0.79671993750,10.00000,
-0.79664000000,9.80000,
-0.79656000000,9.80000,
-0.79648000000,9.80000,
-0.79639993750,10.00000,
-0.79631993750,9.80000,
-0.79624000000,10.00000,
-0.79616000000,9.80000,
-0.79608000000,10.00000,
-0.79600000000,9.80000,
-0.79591993750,10.00000,
-0.79583993750,9.80000,
-0.79576000000,9.80000,
-0.79568000000,9.80000,
-0.79560000000,9.80000,
-0.79552000000,9.80000,
-0.79543993750,9.80000,
-0.79536000000,9.80000,
-0.79528000000,9.80000,
-0.79520000000,9.80000,
-0.79512000000,9.80000,
-0.79503993750,9.80000,
-0.79495993750,9.80000,
-0.79488000000,9.80000,
-0.79480000000,9.80000,
-0.79472000000,9.80000,
-0.79464000000,9.80000,
-0.79455993750,10.00000,
-0.79447993750,9.80000,
-0.79440000000,9.80000,
-0.79432000000,9.80000,
-0.79424000000,9.80000,
-0.79416000000,9.80000,
-0.79407993750,9.80000,
-0.79400000000,9.80000,
-0.79392000000,9.80000,
-0.79384000000,10.00000,
-0.79376000000,9.80000,
-0.79367993750,9.80000,
-0.79359993750,10.00000,
-0.79352000000,9.80000,
-0.79344000000,9.80000,
-0.79336000000,9.80000,
-0.79328000000,9.80000,
-0.79319993750,9.80000,
-0.79311993750,9.40000,
-0.79304000000,9.20000,
-0.79296000000,8.60000,
-0.79288000000,8.20000,
